,bl_id,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,BTU electric,BTU gas,Site BTU,Source BTU,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code,Site EUI,Source EUI
0,B00005,67215120000.0,78.0,2018,440271.0,14806.0,1502204.652,1480600.0,2982804.652,5760803.025599999,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11,164.3961999559083,317.5045759259259
1,B00011,127248492000.0,156.0,2018,3699854.0,7281.0,12623901.848,728100.0,13352001.848,36111430.174399994,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7,19.13936218571715,51.76375415613084
2,B00022,25435080000.0,78.0,2018,89450.0,0.0,305203.39999999997,0.0,305203.39999999997,854569.5199999999,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1,27.079629371665543,75.82296224066353
3,B00026,57015744000.0,78.0,2018,118189.0,0.0,403260.868,0.0,403260.868,1129130.4304,Baltimore City Police North Western District,5271 Reisterstown Rd,4543B,27,39.34462,-76.685455,56228.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,7.171887102511205,20.081283887031372
4,B00028,114849732000.0,78.0,2018,295602.0,7133.0,1008594.024,713300.0,1721894.024,3573028.2671999997,Baltimore City Police Southern District,10 Cherry Hill Rd,7610,11,39.25288,-76.6172,29314.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,58.7396474039708,121.88811718632734
5,B00029,14946480000.0,78.0,2018,294760.0,9219.0,1005721.12,921900.0,1927621.12,3784014.136,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1,73.6379692096115,144.55491981510485
6,B00031,33291240000.0,78.0,2018,253800.0,9618.0,865965.6,961800.0,1827765.6,3434593.6799999997,Baltimore City Police Western District,1034 N Mount St,60,7,39.300666,-76.644706,22024.65,"Public Services, police",BCPD,1961.0,Sandtown - Winchester,9.0,1,82.98727108035769,155.94316731480407
7,B00034,81074880000.0,78.0,2018,361479.0,0.0,1233366.348,0.0,1233366.348,3453425.7744,Baltimore City Police K9 Unit,Mansion House Dr,3499,1,39.3238,-76.64389,26177.0,"Public Services, police",BCPD,,Druid Hill Park,7.0,1,47.11641318714902,131.92595692401727
8,B00035,39307932000.0,78.0,2018,506442.0,11573.0,1727980.104,1157300.0,2885280.1040000003,6053509.2912,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1,113.11066888762831,237.31369585082913
9,B00036,117791292000.0,78.0,2018,384750.0,5385.0,1312767.0,538500.0,1851267.0,4241172.6,Baltimore City Police Department Warrant Task Force,242 West 29th St,3658,075A,39.32306,-76.62223,30310.79,"Public Services, police",BCPD,1992.0,Remington,14.0,1,61.076171224834454,139.92286575176692
