,bl_id,account,consump_month,consump_year,bge_kWh_used,bge_therms_used,BTU electric,BTU gas,Site BTU,Source BTU,name,address1,block,lot,lat,lon,sq_ft,property_type,agency_occupied,year_built,neighborhood,council_district,Property Type Code,Site EUI,Source EUI
0,B00005,39208820000.0,28.0,2019,264236.0,11638.0,901573.232,1163800.0,2065373.2319999998,3746395.0495999996,DGS Public Building Maintenance Shop,500 Fallsway,1255,1,39.29588,-76.61028,18144.0,"Warehouse, self storage",DGS,1945.0,Penn - Fallsway,11.0,11,113.83229894179894,206.4812086419753
1,B00011,74228287000.0,56.0,2019,2266172.0,2865.0,7732178.864,286500.0,8018678.864,21950925.819199998,First Mariner Arena,201 West Baltimore St,644,1,39.28862,-76.61861999999999,697620.0,"Public Assembly, Convention Center",Civic Centers,1960.0,Downtown,11.0,7,11.494336263295203,31.465447979129035
2,B00022,14837130000.0,28.0,2019,53012.0,0.0,180876.944,0.0,180876.944,506455.4431999999,Baltimore City Mounted Police Unit,411 Fallsway St,1255,2,39.295559999999995,-76.61028,11270.59,"Public Services, police",BCPD,,Penn - Fallsway,11.0,1,16.04857811347942,44.936018717742364
3,B00026,33259184000.0,28.0,2019,70893.0,0.0,241886.916,0.0,241886.916,677283.3648,Baltimore City Police North Western District,5271 Reisterstown Rd,4543B,27,39.34462,-76.685455,56228.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,4.301894358682507,12.04530420431102
4,B00028,76566488000.0,32.0,2019,179467.0,3985.0,612341.404,398500.0,1010841.404,2132980.9311999995,Baltimore City Police Southern District,10 Cherry Hill Rd,7610,11,39.25288,-76.6172,29314.0,"Public Services, police",BCPD,1965.0,Middle Branch - Reedbird Parks,10.0,1,34.483229992495055,72.7632165927543
5,B00029,8718780000.0,28.0,2019,183400.0,6693.0,625760.7999999999,669300.0,1295060.7999999998,2454895.2399999998,Baltimore City Police South Eastern District,5710 Eastern Avenue Baltimore ,6332,9,39.287688,-76.547422,26177.0,"Public Services, police",BCPD,1950.0,Hopkins Bayview,1.0,1,49.47323222676395,93.78061809985864
6,B00031,19419890000.0,28.0,2019,148000.0,4788.0,504976.0,478800.0,983776.0,1916672.7999999998,Baltimore City Police Western District,1034 N Mount St,60,7,39.300666,-76.644706,22024.65,"Public Services, police",BCPD,1961.0,Sandtown - Winchester,9.0,1,44.6670435171501,87.02398449010539
7,B00034,47293680000.0,28.0,2019,255373.0,0.0,871332.676,0.0,871332.676,2439731.4927999997,Baltimore City Police K9 Unit,Mansion House Dr,3499,1,39.3238,-76.64389,26177.0,"Public Services, police",BCPD,,Druid Hill Park,7.0,1,33.28619307025251,93.20134059670701
8,B00035,32756610000.0,61.0,2019,390123.0,10447.0,1331099.676,1044700.0,2375799.676,4824014.0928,Baltimore City Police Northern District,2201 West Cold Spring Lane,3357E,009A,39.34304,-76.65236,25508.47,"Public Services, police",BCPD,2001.0,Woodberry,6.0,1,93.13767842602869,189.1142076651402
9,B00036,68711587000.0,28.0,2019,231543.0,3389.0,790024.716,338900.0,1128924.716,2567914.2048,Baltimore City Police Department Warrant Task Force,242 West 29th St,3658,075A,39.32306,-76.62223,30310.79,"Public Services, police",BCPD,1992.0,Remington,14.0,1,37.24497830640508,84.71947464252828
10,B00048,19809937000.0,28.0,2019,466113.0,4521.0,1590377.5559999999,452100.0,2042477.5559999999,4927762.156799999,Health Department Headquarters,1001 E Fayette St,1337,1,39.29097,-76.6031,277322.95,Office,HEALTH,2001.0,Jonestown,12.0,6,7.364978470047285,17.769038432628815
11,B00051,41523377000.0,28.0,2019,988887.0,0.0,3374082.444,0.0,3374082.444,9447430.8432,MECU Building,401 E Fayette St,1331,16,39.290279999999996,-76.60994000000001,46668.0,Office,MULTI,1981.0,Downtown,11.0,6,72.29970095140139,202.4391626639239
12,B00073,55678287000.0,56.0,2019,78087.0,12672.0,266432.844,1267200.0,1533632.844,2076571.9631999999,Fallsway Substation,201 Fallsway St,1306C,1,39.2922,-76.6069,25507.0,"Warehouse, self storage",DGS,1940.0,Jonestown,12.0,11,60.125959305288745,81.41184628533344
13,B00075,10271037000.0,28.0,2019,35700.0,4558.0,121808.4,455800.0,577608.4,819653.52,Northeast DGS Fleet Substation,4325 York Rd,5211,9,39.34171,-76.60918000000001,4764.0,"Warehouse, self storage",DGS,1979.0,Wilson Park,9.0,11,121.24441645675903,172.05153652392949
14,B00076,58159290000.0,28.0,2019,40597.0,3185.0,138516.964,318500.0,457016.96400000004,722272.4992,Northwest Substation,4410 Lewin Av,2959B,191,39.33955,-76.67869,4764.0,"Warehouse, self storage",DOT,1966.0,Dolefield,6.0,11,95.93135264483628,151.61051620486984
15,B00100,61267157000.0,28.0,2019,234816.0,3604.0,801192.192,360400.0,1161592.192,2621758.1376,Eastern Health District Building,620 N Caroline St,1280,3,39.2977,-76.59796,29232.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1939.0,Dunbar- Broadway,12.0,4,39.737007115489874,89.68794942528736
16,B00101,67403427000.0,28.0,2019,119671.0,0.0,408317.452,0.0,408317.452,1143288.8656,WIC Center/ Dunbar Child Care Academy,621 North Eden Street,1280,5,39.29068052,-76.60768333,16448.0,Office,MULTI,,,,6,24.824747811284045,69.50929387159532
17,B00102,20589877000.0,28.0,2019,280491.0,9076.0,957035.292,907600.0,1864635.292,3632678.8175999997,Druid Health District Building,1515 W North Av,295,2,39.30983,-76.64138,36012.0,"Healthcare, Urgent Care/Clinic/Out Patient",HEALTH,1960.0,Druid Heights,7.0,4,51.77816538931467,100.87412022659113
18,B00120,36607214000.0,28.0,2019,374513.0,16889.0,1277838.356,1688900.0,2966738.3559999997,5351292.3968,Waxter Senior Center,1000 Cathedral St,504,1,39.301190000000005,-76.61804000000001,50386.44,"Healthcare, Senior Care Community",HEALTH,1972.0,Mid - Town Belvedere,11.0,3,58.879697712321004,106.20501064969066
19,B00163,61949727000.0,56.0,2019,712889.0,16802.0,2432377.268,1680200.0,4112577.268,8574866.3504,The Weinberg Housing and Resource Center,620 Fallsway St,1248,1,39.29733,-76.61064,40949.0,"Lodging, Residential Care",MOHS,1945.0,Penn - Fallsway,11.0,5,100.4316898581162,209.40355931524581
